epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7138971620135837,0.5525,0.3859468382494698,0.5,0.3333333333333333,1.0,0.3333333333333333,10,20,0,0,30,10,5.044606924057007
2,0.668143073717753,0.58,0.5520769809900244,0.42857142857142855,0.3333333333333333,0.6,0.4666666666666667,6,12,8,4,30,10,4.703652620315552
3,0.5474597050084008,0.635,0.6427936507936509,0.5454545454545454,0.5,0.6,0.6666666666666666,6,6,14,4,30,10,4.702153205871582
4,0.3531438840760125,0.6799999999999999,0.6309756728778467,0.6666666666666666,0.75,0.6,0.8,6,2,18,4,30,10,4.685042381286621
5,0.1844504080298874,0.6224999999999999,0.5517490842490842,0.3333333333333333,0.375,0.3,0.6,3,5,15,7,30,10,4.7046122550964355
6,0.10891287649671237,0.6749999999999999,0.6562063492063492,0.56,0.4666666666666667,0.7,0.6333333333333333,7,8,12,3,30,10,4.684210300445557
7,0.08372125795318021,0.695,0.6381962481962482,0.47058823529411764,0.5714285714285714,0.4,0.7,4,3,17,6,30,10,4.751511812210083
8,0.05347586878471904,0.6875,0.6750856389986825,0.6363636363636364,0.5833333333333334,0.7,0.7333333333333333,7,5,15,3,30,10,4.733898162841797
9,0.03443045075982809,0.7125,0.6758620365142104,0.6363636363636364,0.5833333333333334,0.7,0.7333333333333333,7,5,15,3,30,10,4.683208465576172
10,0.031141051919096045,0.6925,0.6696153846153845,0.6086956521739131,0.5384615384615384,0.7,0.7,7,6,14,3,30,10,4.655413866043091
